sample_id,source_id,algorithm_family,label,trojan_type,fold_iid_r0,fold_iid_r1,fold_iid_r2,holdout_family
benign_deutsch_jozsa_v1_000000,benign_deutsch_jozsa_v1_000000,deutsch_jozsa,benign,benign,1,1,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000001,benign_deutsch_jozsa_v1_000001,deutsch_jozsa,benign,benign,4,3,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000002,benign_deutsch_jozsa_v1_000002,deutsch_jozsa,benign,benign,2,4,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000003,benign_deutsch_jozsa_v1_000003,deutsch_jozsa,benign,benign,3,1,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000004,benign_deutsch_jozsa_v1_000004,deutsch_jozsa,benign,benign,4,0,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000005,benign_deutsch_jozsa_v1_000005,deutsch_jozsa,benign,benign,1,3,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000006,benign_deutsch_jozsa_v1_000006,deutsch_jozsa,benign,benign,3,1,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000007,benign_deutsch_jozsa_v1_000007,deutsch_jozsa,benign,benign,0,3,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000008,benign_deutsch_jozsa_v1_000008,deutsch_jozsa,benign,benign,2,3,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000009,benign_deutsch_jozsa_v1_000009,deutsch_jozsa,benign,benign,1,1,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000010,benign_deutsch_jozsa_v1_000010,deutsch_jozsa,benign,benign,2,2,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000011,benign_deutsch_jozsa_v1_000011,deutsch_jozsa,benign,benign,1,3,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000012,benign_deutsch_jozsa_v1_000012,deutsch_jozsa,benign,benign,3,0,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000013,benign_deutsch_jozsa_v1_000013,deutsch_jozsa,benign,benign,2,2,0,deutsch_jozsa
benign_deutsch_jozsa_v1_000014,benign_deutsch_jozsa_v1_000014,deutsch_jozsa,benign,benign,1,4,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000015,benign_deutsch_jozsa_v1_000015,deutsch_jozsa,benign,benign,1,2,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000016,benign_deutsch_jozsa_v1_000016,deutsch_jozsa,benign,benign,3,3,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000017,benign_deutsch_jozsa_v1_000017,deutsch_jozsa,benign,benign,3,3,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000018,benign_deutsch_jozsa_v1_000018,deutsch_jozsa,benign,benign,1,0,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000019,benign_deutsch_jozsa_v1_000019,deutsch_jozsa,benign,benign,0,4,2,deutsch_jozsa
benign_deutsch_jozsa_v1_000020,benign_deutsch_jozsa_v1_000020,deutsch_jozsa,benign,benign,3,2,1,deutsch_jozsa
benign_deutsch_jozsa_v1_000021,benign_deutsch_jozsa_v1_000021,deutsch_jozsa,benign,benign,1,4,4,deutsch_jozsa
benign_deutsch_jozsa_v1_000022,benign_deutsch_jozsa_v1_000022,deutsch_jozsa,benign,benign,3,4,3,deutsch_jozsa
benign_deutsch_jozsa_v1_000023,benign_deutsch_jozsa_v1_000023,deutsch_jozsa,benign,benign,3,4,3,deutsch_jozsa
