rank,feature,importance
1,logical_cx_ratio,0.2656329830648882
2,logical_degree_std_over_mean,0.13280949360784547
3,logical_frac_interactions_top1,0.054156028585433995
4,logical_max_edge_weight_over_total,0.05370532109088839
5,logical_max_degree_norm,0.04933988279332986
6,logical_frac_interactions_top2,0.034583954534895094
7,logical_layer_twoq_std_over_mean,0.0295627227789513
8,logical_twoq_per_depth,0.028679035276894558
9,opt3_max_degree_norm,0.027568947152505376
10,logical_entangling_layers_ratio,0.022936304192280616
11,logical_depth_per_qubit,0.021625219864152157
12,logical_fraction_layers_active,0.020498025094951043
13,logical_max_twoq_in_layer_norm,0.01616296679251082
14,opt3_depth_per_qubit,0.01558661382925176
15,opt_twoq_ratio_opt3_over_opt0,0.014145821185789362
16,opt0_max_degree_norm,0.01272872938217244
17,opt3_frac_interactions_top1,0.012315469092640937
18,opt0_twoq_per_depth,0.012295403136298132
19,opt3_max_edge_weight_over_total,0.012142972119505668
20,opt_depth_ratio_opt3_over_opt0,0.012139187936816079
21,opt3_max_twoq_in_layer_norm,0.011163833876346943
22,opt3_degree_std_over_mean,0.010908598378643834
23,opt3_twoq_per_depth,0.010854183370877513
24,opt3_frac_interactions_top2,0.010685011942254848
25,opt0_depth_per_qubit,0.01028712286918511
26,opt0_layer_twoq_std_over_mean,0.010089485521676867
27,opt0_entangling_layers_ratio,0.009967084488201756
28,opt0_fraction_layers_active,0.009753457744532772
29,opt3_layer_twoq_std_over_mean,0.009440478943482601
30,opt0_degree_std_over_mean,0.008971790632412368
31,opt0_frac_interactions_top1,0.008674253941958676
32,opt0_max_edge_weight_over_total,0.008581206112372236
33,opt3_fraction_layers_active,0.008391817309920972
34,opt0_frac_interactions_top2,0.008353225195921568
35,opt3_entangling_layers_ratio,0.008262787436251568
36,opt_interaction_overlap_opt0_vs_opt3,0.004685826369508362
37,opt0_max_twoq_in_layer_norm,0.0023147543544507643
38,opt3_cx_ratio,2.2467235172888583e-19
39,opt0_cx_ratio,0.0
