rank,feature,coefficient
1,logical_frac_interactions_top1,9.023544801988654
2,logical_max_edge_weight_over_total,9.023544801988654
3,logical_frac_interactions_top2,8.517388767525668
4,logical_layer_twoq_std_over_mean,3.5799115106196573
5,logical_max_degree_norm,1.5405097016653144
6,opt3_degree_std_over_mean,1.425875214623261
7,logical_depth_per_qubit,1.4078796361883832
8,opt3_frac_interactions_top2,1.3205301174672854
9,logical_twoq_per_depth,1.223032191717986
10,logical_entangling_layers_ratio,1.1839510868973093
11,logical_fraction_layers_active,1.1839510868973093
12,opt0_depth_per_qubit,0.8376648122533746
13,opt3_depth_per_qubit,0.7429150874635392
14,opt3_max_edge_weight_over_total,0.6139649877510654
15,opt3_frac_interactions_top1,0.6139649877510654
16,opt0_fraction_layers_active,0.5931500503127533
17,opt0_entangling_layers_ratio,0.5931500503127533
18,opt0_layer_twoq_std_over_mean,0.5539242854178875
19,opt3_layer_twoq_std_over_mean,0.5245890634917268
20,opt3_entangling_layers_ratio,0.4409052216015728
21,opt3_fraction_layers_active,0.4409052216015728
22,opt_twoq_ratio_opt3_over_opt0,0.41494815460025336
23,opt0_max_degree_norm,0.4039295737818141
24,logical_cx_ratio,0.4012070366951915
25,opt0_frac_interactions_top2,0.3881526503711825
26,logical_max_twoq_in_layer_norm,0.3778187519185394
27,opt3_max_degree_norm,0.3682069484541917
28,opt0_degree_std_over_mean,0.3484672650859295
29,opt0_frac_interactions_top1,0.29054677436363363
30,opt0_max_edge_weight_over_total,0.29054677436363363
31,opt3_twoq_per_depth,0.25232034456147784
32,opt3_max_twoq_in_layer_norm,0.2465996883662077
33,logical_degree_std_over_mean,0.23943559931548938
34,opt0_max_twoq_in_layer_norm,0.19361117517576076
35,opt_interaction_overlap_opt0_vs_opt3,0.1720166154625531
36,opt_depth_ratio_opt3_over_opt0,0.16669874135484974
37,opt0_twoq_per_depth,0.11923379978668436
38,opt3_cx_ratio,5.305385760342082e-13
39,opt0_cx_ratio,5.305385760342082e-13
